ORIGINAL UNITS:,METRIC,MAP PROJECTION:,NAD 83
WELL INFORMATION
UWID:,100/05-08-013-18W4/00
NAME:,BOC775 RETLAW 5-8-13-18
KB ELEVATION(m):,     824.1
GROUND ELEVATION(m):,     819.6
BH COORD(m N):,     430.2,RELATIVE TO,SW 08-013-18W4
BH COORD(m E):,      96.3,RELATIVE TO,SW 08-013-18W4
BH COORD LAT(deg N):,  50.06638
BH COORD LONG(deg E):,-112.43718
SH LOC:,04-16-013-18W4
SH COORD(m N):,     107.3,RELATIVE TO,SW 16-013-18W4
SH COORD(m E):,      50.5,RELATIVE TO,SW 16-013-18W4
SH COORD LAT(deg N):,  50.07815
SH COORD LONG(deg E):,-112.41502
Grid Convergence(°):,-1.09
100/05-08-013-18W4/00,    910.96,     24.00,    155.80,    878.97,    166.13,    -58.34
100/05-08-013-18W4/00,    924.60,     25.40,    163.50,    891.36,    168.13,    -63.67
100/05-08-013-18W4/00,    938.23,     26.90,    170.20,    903.60,    169.49,    -69.46
100/05-08-013-18W4/00,    951.88,     27.70,    177.10,    915.73,    170.21,    -75.68
100/05-08-013-18W4/00,    965.51,     30.90,    182.70,    927.62,    170.21,    -82.35
100/05-08-013-18W4/00,    979.16,     33.50,    187.20,    939.17,    169.56,    -89.58
100/05-08-013-18W4/00,    992.78,     35.50,    193.10,    950.40,    168.13,    -97.14
100/05-08-013-18W4/00,   1006.42,     39.90,    196.60,    961.19,    165.99,   -105.15
100/05-08-013-18W4/00,   1020.06,     44.90,    198.80,    971.26,    163.20,   -113.93
100/05-08-013-18W4/00,   1033.71,     48.30,    201.20,    980.64,    159.83,   -123.27
100/05-08-013-18W4/00,   1047.34,     49.70,    204.70,    989.58,    155.83,   -132.72
100/05-08-013-18W4/00,   1060.98,     52.30,    206.50,    998.17,    151.25,   -142.28
100/05-08-013-18W4/00,   1074.61,     56.00,    207.30,   1006.15,    146.24,   -152.07
100/05-08-013-18W4/00,   1088.25,     60.00,    209.10,   1013.37,    140.73,   -162.30
100/05-08-013-18W4/00,   1101.89,     63.10,    210.60,   1019.87,    134.79,   -172.75
100/05-08-013-18W4/00,   1115.52,     66.50,    212.50,   1025.67,    128.35,   -183.20
100/05-08-013-18W4/00,   1129.16,     70.70,    213.90,   1030.65,    121.41,   -193.87
100/05-08-013-18W4/00,   1142.80,     74.70,    214.80,   1034.71,    114.04,   -204.55
100/05-08-013-18W4/00,   1156.45,     77.80,    217.40,   1037.95,    106.24,   -215.22
100/05-08-013-18W4/00,   1170.08,     80.10,    219.30,   1040.56,     97.94,   -225.78
100/05-08-013-18W4/00,   1183.70,     82.80,    220.10,   1042.59,     89.36,   -236.13
100/05-08-013-18W4/00,   1196.00,     85.00,    220.70,   1043.89,     81.41,   -245.47
100/05-08-013-18W4/00,   1211.00,     86.35,    220.56,   1045.03,     71.68,   -256.81
100/05-08-013-18W4/00,   1228.20,     87.90,    220.40,   1045.89,     60.52,   -269.82
100/05-08-013-18W4/00,   1241.84,     87.80,    219.90,   1046.40,     51.79,   -280.27
100/05-08-013-18W4/00,   1255.49,     88.80,    220.10,   1046.80,     42.99,   -290.72
100/05-08-013-18W4/00,   1269.19,     91.30,    221.10,   1046.79,     34.12,   -301.06
100/05-08-013-18W4/00,   1282.81,     93.00,    223.40,   1046.28,     24.96,   -311.18
100/05-08-013-18W4/00,   1296.46,     92.60,    223.10,   1045.61,     15.58,   -321.07
100/05-08-013-18W4/00,   1310.17,     91.10,    222.00,   1045.17,      6.35,   -331.19
100/05-08-013-18W4/00,   1323.81,     90.80,    222.20,   1044.95,     -2.80,   -341.31
100/05-08-013-18W4/00,   1337.46,     90.60,    222.50,   1044.78,    -11.96,   -351.31
100/05-08-013-18W4/00,   1351.11,     90.30,    222.70,   1044.67,    -21.19,   -361.43
100/05-08-013-18W4/00,   1364.75,     90.50,    223.00,   1044.58,    -30.50,   -371.44
100/05-08-013-18W4/00,   1378.40,     90.30,    222.70,   1044.48,    -39.80,   -381.45
