UWI,MD,Inc,Az,tvd,noff,eoff,
100/01-07-013-18W4/00,1159.17,73.19,69.95,1019.66,145.32,271.98,
100/01-07-013-18W4/00,1168.6,74.64,70.56,1022.27,148.43,280.5,
100/01-07-013-18W4/00,1178.1,75.74,71.44,1024.7,151.44,289.16,
100/01-07-013-18W4/00,1187.64,75.74,71.71,1027.05,154.33,297.97,
100/01-07-013-18W4/00,1197.13,77.23,71.27,1029.27,157.22,306.7,
100/01-07-013-18W4/00,1206.63,77.54,71.62,1031.34,160.22,315.51,
100/01-07-013-18W4/00,1216.16,79.16,71.71,1033.27,163.11,324.32,
100/01-07-013-18W4/00,1225.63,79.96,71.36,1034.98,166.11,333.19,
100/01-07-013-18W4/00,1235.09,81.89,71.53,1036.47,169.12,342,
100/01-07-013-18W4/00,1244.66,82.77,71.71,1037.75,172.01,351.02,
100/01-07-013-18W4/00,1254.18,84.04,71.88,1038.85,175.01,359.97,
100/01-07-013-18W4/00,1263.71,84.57,71.71,1039.79,178.01,368.99,
100/01-07-013-18W4/00,1273.33,85.89,71.88,1040.59,180.91,378.08,
100/01-07-013-18W4/00,1287,87.08,71.88,1041.43,185.24,391.11,
100/01-07-013-18W4/00,1303,88.95,74.03,1041.98,189.91,406.36,
100/01-07-013-18W4/00,1308.02,89.54,74.7,1042.05,191.25,411.16,
100/01-07-013-18W4/00,1327.16,88.92,74.26,1042.31,196.36,429.63,
100/01-07-013-18W4/00,1346.46,89.71,73.99,1042.54,201.59,448.17,
100/01-07-013-18W4/00,1365.75,89.36,74.17,1042.69,206.93,466.71,
100/01-07-013-18W4/00,1384.81,89.27,74.17,1042.92,212.16,485.04,
100/01-07-013-18W4/00,1403.98,88.48,73.73,1043.3,217.38,503.44,
100/01-07-013-18W4/00,1423.2,89.45,72.15,1043.65,223.06,521.84,
100/01-07-013-18W4/00,1442.22,90.15,72.59,1043.71,228.84,539.95,
100/01-07-013-18W4/00,1461.28,89.71,72.5,1043.74,234.51,558.14,
100/01-07-013-18W4/00,1480.2,89.01,70.83,1043.95,240.52,576.11,
100/01-07-013-18W4/00,1499.42,90.07,69.69,1044.1,246.97,594.15,
100/01-07-013-18W4/00,1518.44,90.2,70.48,1044.06,253.42,612.04,
100/01-07-013-18W4/00,1537.38,90.46,68.89,1043.95,259.98,629.8,
100/01-07-013-18W4/00,1556.45,89.32,66.61,1043.98,267.21,647.41,
100/01-07-013-18W4/00,1575.73,87.65,63.62,1044.49,275.33,664.88,
100/01-07-013-18W4/00,1594.74,88.48,62.21,1045.14,284,681.77,
100/01-07-013-18W4/00,1613.94,90.24,60.28,1045.35,293.24,698.6,
100/01-07-013-18W4/00,1633.16,91.78,59.23,1045.01,302.91,715.2,
100/01-07-013-18W4/00,1652.29,92.44,59.84,1044.31,312.59,731.67,
100/01-07-013-18W4/00,1671.49,90.86,57.82,1043.75,322.48,748.13,
100/01-07-013-18W4/00,1674,90.77,57.54,1043.72,323.82,750.21,
100/01-07-013-18W4/00,1695.36,89.98,55.18,1043.58,335.72,768.03,
100/01-07-013-18W4/00,1714.49,90.99,55.1,1043.42,346.62,783.71,
100/01-07-013-18W4/00,1733.63,92.88,53.86,1042.77,357.74,799.25,
100/01-07-013-18W4/00,1752.74,91.12,51.49,1042.1,369.3,814.42,
100/01-07-013-18W4/00,1771.84,91.03,49.82,1041.74,381.42,829.24,
100/01-07-013-18W4/00,1790.95,90.81,47.1,1041.44,393.99,843.48,
100/01-07-013-18W4/00,1810.01,90.99,45.34,1041.14,407.22,857.23,
100/01-07-013-18W4/00,1829.12,90.95,46.22,1040.81,420.57,870.97,
100/01-07-013-18W4/00,1848.3,91.65,45.34,1040.38,433.91,884.64,
100/01-07-013-18W4/00,1867.46,89.19,43.93,1040.24,447.59,898.1,
100/01-07-013-18W4/00,1886.57,88.75,44.11,1040.58,461.27,911.41,
100/01-07-013-18W4/00,1905.59,88.92,43.49,1040.97,474.95,924.58,
100/01-07-013-18W4/00,1924.78,89.19,43.05,1041.29,488.96,937.68,
100/01-07-013-18W4/00,1943.89,90.07,42.44,1041.41,502.97,950.64,
100/01-07-013-18W4/00,1963,89.05,41.12,1041.56,517.2,963.38,
100/01-07-013-18W4/00,1982.09,90.95,41.65,1041.56,531.55,975.97,
100/01-07-013-18W4/00,2001.2,90.33,41.65,1041.34,545.78,988.71,
100/01-07-013-18W4/00,2020.34,88.26,39.89,1041.58,560.35,1001.17,
100/01-07-013-18W4/00,2039.48,89.01,41.38,1042.03,574.81,1013.62,
100/01-07-013-18W4/00,2058.78,88.92,42.26,1042.38,589.15,1026.51,
100/01-07-013-18W4/00,2077.99,89.58,43.05,1042.63,603.28,1039.53,
100/01-07-013-18W4/00,2097.33,90.42,44.11,1042.63,617.29,1052.84,
100/01-07-013-18W4/00,2116.46,90.2,44.2,1042.53,631.08,1066.16,
100/01-07-013-18W4/00,2135.61,88.88,43.14,1042.68,644.87,1079.4,
100/01-07-013-18W4/00,2154.74,87.74,42.97,1043.25,658.88,1092.42,
100/01-07-013-18W4/00,2164.28,87.91,43.23,1043.61,665.77,1098.94,
100/01-07-013-18W4/00,2173.82,89.41,43.85,1043.83,672.67,1105.52,
100/01-07-013-18W4/00,2183.41,89.45,44.28,1043.93,679.56,1112.18,
100/01-07-013-18W4/00,2192.99,89.32,44.46,1044.03,686.46,1118.91,
100/01-07-013-18W4/00,2202.6,90.81,45.69,1044.02,693.24,1125.71,
100/01-07-013-18W4/00,2212.22,92.7,45.52,1043.73,699.91,1132.58,
100/01-07-013-18W4/00,2231.35,91.87,44.9,1042.96,713.37,1146.1,
100/01-07-013-18W4/00,2250.59,91.65,44.72,1042.37,727.05,1159.63,
100/01-07-013-18W4/00,2269.86,90.46,44.9,1042.02,740.73,1173.23,
100/01-07-013-18W4/00,2288.93,89.76,44.9,1041.98,754.19,1186.68,
100/01-07-013-18W4/00,2308.22,88.09,44.64,1042.34,767.86,1200.28,
100/01-07-013-18W4/00,2327.52,88.79,45.08,1042.87,781.54,1213.88,
100/01-07-013-18W4/00,2346.6,90.95,45.52,1042.91,795,1227.41,
100/01-07-013-18W4/00,2365.71,89.76,43.41,1042.79,808.68,1240.79,
100/01-07-013-18W4/00,2384.89,89.1,43.05,1042.98,822.58,1253.96,
100/01-07-013-18W4/00,2403.98,90.86,42.97,1042.99,836.59,1266.91,
100/01-07-013-18W4/00,2423.13,91.08,44.72,1042.67,850.38,1280.23,
100/01-07-013-18W4/00,2442.51,90.86,45.87,1042.34,863.95,1293.97,
100/01-07-013-18W4/00,2461.78,91.08,45.69,1042.01,877.41,1307.78,
100/01-07-013-18W4/00,2480.86,90.42,45.78,1041.76,890.75,1321.45,
100/01-07-013-18W4/00,2500,89.63,45.25,1041.75,904.1,1335.05,
100/01-07-013-18W4/00,2518.99,87.87,44.55,1042.17,917.56,1348.43,
100/01-07-013-18W4/00,2538,87.43,45.87,1042.95,930.9,1361.96,
100/01-07-013-18W4/00,2557.22,88.26,45.6,1043.67,944.36,1375.7,
100/01-07-013-18W4/00,2576.36,89.01,45.16,1044.13,957.81,1389.29,
100/01-07-013-18W4/00,2594.74,90.29,47.98,1044.24,970.38,1402.6,
100/01-07-013-18W4/00,2613.53,90.86,48.06,1044.05,982.95,1416.63,
100/01-07-013-18W4/00,2632.72,90.95,47.98,1043.75,995.85,1430.87,
100/01-07-013-18W4/00,2651.67,90.9,48.42,1043.44,1008.42,1444.97,
100/01-07-013-18W4/00,2670.4,90.55,48.42,1043.2,1020.88,1459,
100/01-07-013-18W4/00,2689.25,89.41,47.89,1043.21,1033.44,1473.03,
100/01-07-013-18W4/00,2708.05,89.8,47.27,1043.34,1046.12,1486.91,
100/01-07-013-18W4/00,2726.63,89.36,47.45,1043.48,1058.69,1500.58,
100/01-07-013-18W4/00,2745.17,89.1,47.98,1043.73,1071.15,1514.25,
100/01-07-013-18W4/00,2764.16,88.62,47.45,1044.1,1083.94,1528.27,
100/01-07-013-18W4/00,2783.12,89.19,47.27,1044.47,1096.73,1542.23,
100/01-07-013-18W4/00,2802.08,90.07,47.8,1044.59,1109.52,1556.18,
100/01-07-013-18W4/00,2820.9,89.71,47.71,1044.62,1122.2,1570.14,
100/01-07-013-18W4/00,2839.5,89.19,48.24,1044.8,1134.65,1583.95,
100/01-07-013-18W4/00,2858.39,90.29,48.77,1044.89,1147.11,1598.12,
100/01-07-013-18W4/00,2876.86,89.76,47.62,1044.88,1159.46,1611.86,
100/01-07-013-18W4/00,2895.44,89.23,46.13,1045.04,1172.14,1625.38,
100/01-07-013-18W4/00,2914.36,89.19,45.16,1045.31,1185.37,1638.91,
100/01-07-013-18W4/00,2933.29,89.89,44.02,1045.46,1198.83,1652.22,
100/01-07-013-18W4/00,2952.09,91.78,43.32,1045.18,1212.4,1665.17,
100/01-07-013-18W4/00,2971.11,92.04,44.2,1044.55,1226.19,1678.34,
100/01-07-013-18W4/00,2989.88,91.25,43.58,1044.01,1239.65,1691.36,
100/01-07-013-18W4/00,3008.73,90.15,43.76,1043.78,1253.33,1704.38,
100/01-07-013-18W4/00,3027.46,91.25,45.43,1043.55,1266.67,1717.48,
100/01-07-013-18W4/00,3046.55,91.56,46.83,1043.08,1279.91,1731.29,
100/01-07-013-18W4/00,3065.09,90.15,46.22,1042.81,1292.59,1744.67,
100/01-07-013-18W4/00,3083.99,88.31,45.78,1043.06,1305.71,1758.27,
100/01-07-013-18W4/00,3103.25,89.45,45.52,1043.44,1319.17,1772.08,
100/01-07-013-18W4/00,3121.81,88.44,43.76,1043.78,1332.41,1785.1,
100/01-07-013-18W4/00,3140.6,87.52,42.88,1044.44,1346.09,1797.98,
100/01-07-013-18W4/00,3159.17,87.6,42.97,1045.23,1359.65,1810.57,
100/01-07-013-18W4/00,3177.93,89.23,43.05,1045.75,1373.34,1823.38,
100/01-07-013-18W4/00,3196.69,89.71,44.11,1045.92,1386.9,1836.33,
100/01-07-013-18W4/00,3215.76,89.93,44.55,1045.98,1400.58,1849.64,
100/01-07-013-18W4/00,3234.66,89.89,44.9,1046.01,1413.93,1862.95,
100/01-07-013-18W4/00,3253.55,91.43,45.87,1045.8,1427.28,1876.4,
100/01-07-013-18W4/00,3272.49,91.3,46.13,1045.35,1440.4,1890,
100/01-07-013-18W4/00,3291.74,90.73,45.78,1045,1453.75,1903.81,
100/01-07-013-18W4/00,3310.67,90.68,44.72,1044.77,1467.1,1917.26,
100/01-07-013-18W4/00,3329.6,88.35,43.05,1044.93,1480.67,1930.35,
100/01-07-013-18W4/00,3347.91,87.56,42.35,1045.59,1494.12,1942.73,
100/01-07-013-18W4/00,3366.54,87.34,42.09,1046.41,1507.92,1955.25,
100/01-07-013-18W4/00,3385.68,87.43,41.74,1047.29,1522.15,1968.06,
100/01-07-013-18W4/00,3404.64,88.18,41.21,1048.01,1536.39,1980.58,
100/01-07-013-18W4/00,3423.21,90.37,41.21,1048.25,1550.29,1992.81,
100/01-07-013-18W4/00,3441.82,92.09,41.82,1047.85,1564.19,2005.12,
100/01-07-013-18W4/00,3461.1,92.88,42.97,1047.01,1578.43,2018.14,
100/01-07-013-18W4/00,3480.28,91.25,43.23,1046.32,1592.45,2031.23,
100/01-07-013-18W4/00,3499.33,92.22,43.14,1045.75,1606.35,2044.25,
100/01-07-013-18W4/00,3518.47,90.42,43.32,1045.3,1620.25,2057.35,
100/01-07-013-18W4/00,3537.69,89.98,44.02,1045.24,1634.16,2070.58,
100/01-07-013-18W4/00,3556.87,89.05,44.55,1045.4,1647.84,2083.96,
100/01-07-013-18W4/00,3576.04,90.51,45.69,1045.47,1661.41,2097.56,
